group,function,value,sample_time_nanos,iteration_count
angular,,,228328678.0,1
angular,,,458859799.0,2
angular,,,688849177.0,3
angular,,,920953411.0,4
angular,,,1149762648.0,5
angular,,,1375796258.0,6
angular,,,1602559056.0,7
angular,,,1831081071.0,8
angular,,,2063237433.0,9
angular,,,2293014470.0,10
angular,,,2521802106.0,11
angular,,,2758217268.0,12
angular,,,2983884567.0,13
angular,,,3213679326.0,14
angular,,,3451547336.0,15
angular,,,3673469475.0,16
angular,,,3906675483.0,17
angular,,,4129549472.0,18
angular,,,4358839780.0,19
angular,,,4587660517.0,20
angular,,,4820506024.0,21
angular,,,5060923923.0,22
angular,,,5277087649.0,23
angular,,,5511648519.0,24
angular,,,5743054263.0,25
angular,,,5978866749.0,26
angular,,,6186464074.0,27
angular,,,6418685210.0,28
angular,,,6661456509.0,29
angular,,,6882844269.0,30
angular,,,7110919640.0,31
angular,,,7345972370.0,32
angular,,,7576410567.0,33
angular,,,7819914291.0,34
angular,,,8016061584.0,35
angular,,,8248756346.0,36
angular,,,8470835646.0,37
angular,,,8752182187.0,38
angular,,,8964222309.0,39
angular,,,9178961134.0,40
angular,,,9400192450.0,41
angular,,,9650957759.0,42
angular,,,9858861846.0,43
angular,,,10109367044.0,44
angular,,,10339509282.0,45
angular,,,10555784802.0,46
angular,,,10800301080.0,47
angular,,,11023496500.0,48
angular,,,11224351021.0,49
angular,,,11485164474.0,50
angular,,,11694757442.0,51
angular,,,11944996869.0,52
angular,,,12154492574.0,53
angular,,,12388750003.0,54
angular,,,12670056048.0,55
angular,,,12864583472.0,56
angular,,,13072952017.0,57
angular,,,13314306120.0,58
angular,,,13556429366.0,59
angular,,,13766771030.0,60
angular,,,14015767287.0,61
angular,,,14220134951.0,62
angular,,,14456881243.0,63
angular,,,14674339690.0,64
angular,,,14902045355.0,65
angular,,,15139118566.0,66
angular,,,15357910784.0,67
angular,,,15595236553.0,68
angular,,,15803578228.0,69
angular,,,16044358526.0,70
angular,,,16291212644.0,71
angular,,,16521562938.0,72
angular,,,16773995051.0,73
angular,,,16986644317.0,74
angular,,,17186677908.0,75
angular,,,17440560783.0,76
angular,,,17710101271.0,77
angular,,,17894483951.0,78
angular,,,18098336421.0,79
angular,,,18354805914.0,80
angular,,,18576413122.0,81
angular,,,18826550277.0,82
angular,,,19029203540.0,83
angular,,,19261480345.0,84
angular,,,19497306660.0,85
angular,,,19720444211.0,86
angular,,,19951748598.0,87
angular,,,20189643484.0,88
angular,,,20420228130.0,89
angular,,,20651295961.0,90
angular,,,20900008192.0,91
angular,,,21097422643.0,92
angular,,,21306993461.0,93
angular,,,21570405346.0,94
angular,,,21805889854.0,95
angular,,,22001892818.0,96
angular,,,22235133745.0,97
angular,,,22466815236.0,98
angular,,,22704281579.0,99
angular,,,22938032753.0,100
