group,function,value,sample_time_nanos,iteration_count
angular_min,,,174450043.0,1
angular_min,,,358965402.0,2
angular_min,,,527089198.0,3
angular_min,,,701674138.0,4
angular_min,,,874208680.0,5
angular_min,,,1052753653.0,6
angular_min,,,1226333702.0,7
angular_min,,,1401921527.0,8
angular_min,,,1577116047.0,9
angular_min,,,1752306460.0,10
angular_min,,,1927002339.0,11
angular_min,,,2100638985.0,12
angular_min,,,2278451273.0,13
angular_min,,,2450399688.0,14
angular_min,,,2638183234.0,15
angular_min,,,2811649137.0,16
angular_min,,,2980562105.0,17
angular_min,,,3152424399.0,18
angular_min,,,3330904509.0,19
angular_min,,,3505973712.0,20
angular_min,,,3681585162.0,21
angular_min,,,3856093254.0,22
angular_min,,,4030811185.0,23
angular_min,,,4200871942.0,24
angular_min,,,4377632613.0,25
angular_min,,,4559239614.0,26
angular_min,,,4731191967.0,27
angular_min,,,4907653332.0,28
angular_min,,,5075889411.0,29
angular_min,,,5257415198.0,30
angular_min,,,5425627282.0,31
angular_min,,,5620474298.0,32
angular_min,,,5784075877.0,33
angular_min,,,5958559534.0,34
angular_min,,,6149740782.0,35
angular_min,,,6329439406.0,36
angular_min,,,6502522576.0,37
angular_min,,,6682392434.0,38
angular_min,,,6859192110.0,39
angular_min,,,7030172825.0,40
angular_min,,,7186561981.0,41
angular_min,,,7360273009.0,42
angular_min,,,7533927839.0,43
angular_min,,,7701244019.0,44
angular_min,,,7887771250.0,45
angular_min,,,8059762537.0,46
angular_min,,,8230055873.0,47
angular_min,,,8411406100.0,48
angular_min,,,8592777766.0,49
angular_min,,,8758127910.0,50
angular_min,,,8945418534.0,51
angular_min,,,9109378761.0,52
angular_min,,,9291479967.0,53
angular_min,,,9460621507.0,54
angular_min,,,9669708468.0,55
angular_min,,,9856023268.0,56
angular_min,,,10033655306.0,57
angular_min,,,10205773783.0,58
angular_min,,,10330989639.0,59
angular_min,,,10517622168.0,60
angular_min,,,10686768447.0,61
angular_min,,,10841551969.0,62
angular_min,,,11021842893.0,63
angular_min,,,11200999152.0,64
angular_min,,,11381719358.0,65
angular_min,,,11555340114.0,66
angular_min,,,11737625688.0,67
angular_min,,,11937350094.0,68
angular_min,,,12096348743.0,69
angular_min,,,12265784589.0,70
angular_min,,,12459151027.0,71
angular_min,,,12617520126.0,72
angular_min,,,12804729837.0,73
angular_min,,,12958022361.0,74
angular_min,,,13143410530.0,75
angular_min,,,13329773019.0,76
angular_min,,,13498079151.0,77
angular_min,,,13649832424.0,78
angular_min,,,13829229358.0,79
angular_min,,,14024090261.0,80
angular_min,,,14187795056.0,81
angular_min,,,14386297853.0,82
angular_min,,,14544040778.0,83
angular_min,,,14739116106.0,84
angular_min,,,14896662380.0,85
angular_min,,,15103155820.0,86
angular_min,,,15257233508.0,87
angular_min,,,15429097042.0,88
angular_min,,,15583644559.0,89
angular_min,,,15792201188.0,90
angular_min,,,15975207966.0,91
angular_min,,,16182296330.0,92
angular_min,,,16308932580.0,93
angular_min,,,16486030869.0,94
angular_min,,,16650152221.0,95
angular_min,,,16826204533.0,96
angular_min,,,17003960636.0,97
angular_min,,,17164698232.0,98
angular_min,,,17351868008.0,99
angular_min,,,17541741233.0,100
