group,function,value,sample_time_nanos,iteration_count
comments,,,982768.0,1749
comments,,,1964343.0,3498
comments,,,2951850.0,5247
comments,,,3932694.0,6996
comments,,,4916342.0,8745
comments,,,5899061.0,10494
comments,,,6878622.0,12243
comments,,,7960456.0,13992
comments,,,8944417.0,15741
comments,,,9960527.0,17490
comments,,,10884374.0,19239
comments,,,11798702.0,20988
comments,,,12876188.0,22737
comments,,,13834240.0,24486
comments,,,14894914.0,26235
comments,,,15889565.0,27984
comments,,,16868985.0,29733
comments,,,17841774.0,31482
comments,,,18690348.0,33231
comments,,,19804254.0,34980
comments,,,20717319.0,36729
comments,,,21791440.0,38478
comments,,,22536167.0,40227
comments,,,23967092.0,41976
comments,,,24868286.0,43725
comments,,,25752596.0,45474
comments,,,26640486.0,47223
comments,,,27657418.0,48972
comments,,,28614206.0,50721
comments,,,29452902.0,52470
comments,,,30396886.0,54219
comments,,,31372119.0,55968
comments,,,32267692.0,57717
comments,,,33052616.0,59466
comments,,,34166952.0,61215
comments,,,35157915.0,62964
comments,,,36136475.0,64713
comments,,,37189505.0,66462
comments,,,38037999.0,68211
comments,,,38930746.0,69960
comments,,,39903665.0,71709
comments,,,41208952.0,73458
comments,,,41969711.0,75207
comments,,,42590484.0,76956
comments,,,44123751.0,78705
comments,,,45309664.0,80454
comments,,,46394985.0,82203
comments,,,47237619.0,83952
comments,,,48391418.0,85701
comments,,,48931621.0,87450
comments,,,49620482.0,89199
comments,,,50846869.0,90948
comments,,,51767329.0,92697
comments,,,52952992.0,94446
comments,,,54048442.0,96195
comments,,,55179459.0,97944
comments,,,55826693.0,99693
comments,,,56918477.0,101442
comments,,,57552074.0,103191
comments,,,59217762.0,104940
comments,,,60237400.0,106689
comments,,,62123735.0,108438
comments,,,62680147.0,110187
comments,,,62748056.0,111936
comments,,,63605075.0,113685
comments,,,64640593.0,115434
comments,,,65546966.0,117183
comments,,,67399979.0,118932
comments,,,69526017.0,120681
comments,,,70375603.0,122430
comments,,,71468609.0,124179
comments,,,70063394.0,125928
comments,,,71880838.0,127677
comments,,,72038205.0,129426
comments,,,73595029.0,131175
comments,,,74547138.0,132924
comments,,,75049878.0,134673
comments,,,76525738.0,136422
comments,,,77791781.0,138171
comments,,,78551085.0,139920
comments,,,79255809.0,141669
comments,,,80234188.0,143418
comments,,,81117647.0,145167
comments,,,81917289.0,146916
comments,,,83299081.0,148665
comments,,,83953748.0,150414
comments,,,85023250.0,152163
comments,,,86810759.0,153912
comments,,,86783737.0,155661
comments,,,87416072.0,157410
comments,,,88119743.0,159159
comments,,,89739264.0,160908
comments,,,91111498.0,162657
comments,,,92035675.0,164406
comments,,,92917771.0,166155
comments,,,93202430.0,167904
comments,,,94915519.0,169653
comments,,,95745797.0,171402
comments,,,96129703.0,173151
comments,,,97942820.0,174900
