group,function,value,sample_time_nanos,iteration_count
keywords,,,996804.0,414
keywords,,,2011943.0,828
keywords,,,2962550.0,1242
keywords,,,3956228.0,1656
keywords,,,4957309.0,2070
keywords,,,5951600.0,2484
keywords,,,6936682.0,2898
keywords,,,7971988.0,3312
keywords,,,8989322.0,3726
keywords,,,9907738.0,4140
keywords,,,10911735.0,4554
keywords,,,11872161.0,4968
keywords,,,12883382.0,5382
keywords,,,13891197.0,5796
keywords,,,14941643.0,6210
keywords,,,15806517.0,6624
keywords,,,16827267.0,7038
keywords,,,17817298.0,7452
keywords,,,18767865.0,7866
keywords,,,19751794.0,8280
keywords,,,20833389.0,8694
keywords,,,21881951.0,9108
keywords,,,22867714.0,9522
keywords,,,23998091.0,9936
keywords,,,24865811.0,10350
keywords,,,25915265.0,10764
keywords,,,26776272.0,11178
keywords,,,27713033.0,11592
keywords,,,28698145.0,12006
keywords,,,29777024.0,12420
keywords,,,30747379.0,12834
keywords,,,31667127.0,13248
keywords,,,32805388.0,13662
keywords,,,33618386.0,14076
keywords,,,34567959.0,14490
keywords,,,35706762.0,14904
keywords,,,36891883.0,15318
keywords,,,37597827.0,15732
keywords,,,38707935.0,16146
keywords,,,39915207.0,16560
keywords,,,40819266.0,16974
keywords,,,41919436.0,17388
keywords,,,42810370.0,17802
keywords,,,43624879.0,18216
keywords,,,44492880.0,18630
keywords,,,45604922.0,19044
keywords,,,46509101.0,19458
keywords,,,47470168.0,19872
keywords,,,48502638.0,20286
keywords,,,49390356.0,20700
keywords,,,50529281.0,21114
keywords,,,51442826.0,21528
keywords,,,52779432.0,21942
keywords,,,53921632.0,22356
keywords,,,54562063.0,22770
keywords,,,55387843.0,23184
keywords,,,56179520.0,23598
keywords,,,57316940.0,24012
keywords,,,58212914.0,24426
keywords,,,59667903.0,24840
keywords,,,60032883.0,25254
keywords,,,61285852.0,25668
keywords,,,62439993.0,26082
keywords,,,63598303.0,26496
keywords,,,64557766.0,26910
keywords,,,65292946.0,27324
keywords,,,66662475.0,27738
keywords,,,67771681.0,28152
keywords,,,68637929.0,28566
keywords,,,69219017.0,28980
keywords,,,69966139.0,29394
keywords,,,70764017.0,29808
keywords,,,72083542.0,30222
keywords,,,73136341.0,30636
keywords,,,74062662.0,31050
keywords,,,75049678.0,31464
keywords,,,76110382.0,31878
keywords,,,76885839.0,32292
keywords,,,77826988.0,32706
keywords,,,79057974.0,33120
keywords,,,80273242.0,33534
keywords,,,81193450.0,33948
keywords,,,82081289.0,34362
keywords,,,83498658.0,34776
keywords,,,84470726.0,35190
keywords,,,85900287.0,35604
keywords,,,86232856.0,36018
keywords,,,87341733.0,36432
keywords,,,88163305.0,36846
keywords,,,89048007.0,37260
keywords,,,90195506.0,37674
keywords,,,91356711.0,38088
keywords,,,92278935.0,38502
keywords,,,93241704.0,38916
keywords,,,93508889.0,39330
keywords,,,95098454.0,39744
keywords,,,96530942.0,40158
keywords,,,97227458.0,40572
keywords,,,98517988.0,40986
keywords,,,98787716.0,41400
