group,function,value,sample_time_nanos,iteration_count
regex,,,1022753.0,563
regex,,,2038954.0,1126
regex,,,3080313.0,1689
regex,,,4105700.0,2252
regex,,,5006573.0,2815
regex,,,5899972.0,3378
regex,,,6890705.0,3941
regex,,,7868263.0,4504
regex,,,8836101.0,5067
regex,,,9967780.0,5630
regex,,,10965817.0,6193
regex,,,12050468.0,6756
regex,,,12873233.0,7319
regex,,,13893391.0,7882
regex,,,14934339.0,8445
regex,,,15877241.0,9008
regex,,,16915253.0,9571
regex,,,17847485.0,10134
regex,,,18996617.0,10697
regex,,,20010484.0,11260
regex,,,21083372.0,11823
regex,,,21978003.0,12386
regex,,,22954769.0,12949
regex,,,23942024.0,13512
regex,,,24943378.0,14075
regex,,,25864669.0,14638
regex,,,26756825.0,15201
regex,,,27772185.0,15764
regex,,,28877153.0,16327
regex,,,29748169.0,16890
regex,,,30676214.0,17453
regex,,,31558261.0,18016
regex,,,32712643.0,18579
regex,,,33691072.0,19142
regex,,,34740286.0,19705
regex,,,35789548.0,20268
regex,,,36707033.0,20831
regex,,,37888736.0,21394
regex,,,38712043.0,21957
regex,,,39755485.0,22520
regex,,,40662459.0,23083
regex,,,41861937.0,23646
regex,,,42571889.0,24209
regex,,,43593790.0,24772
regex,,,44751599.0,25335
regex,,,45664414.0,25898
regex,,,46897865.0,26461
regex,,,47641290.0,27024
regex,,,48426987.0,27587
regex,,,49531694.0,28150
regex,,,50648655.0,28713
regex,,,51833656.0,29276
regex,,,52596277.0,29839
regex,,,53855046.0,30402
regex,,,54837804.0,30965
regex,,,55009338.0,31528
regex,,,56114266.0,32091
regex,,,57111442.0,32654
regex,,,58096413.0,33217
regex,,,59123704.0,33780
regex,,,60351345.0,34343
regex,,,61364190.0,34906
regex,,,62435555.0,35469
regex,,,63568236.0,36032
regex,,,64371744.0,36595
regex,,,65634482.0,37158
regex,,,66801778.0,37721
regex,,,67280282.0,38284
regex,,,68416650.0,38847
regex,,,69680348.0,39410
regex,,,70059254.0,39973
regex,,,71208076.0,40536
regex,,,72089704.0,41099
regex,,,73435346.0,41662
regex,,,74154296.0,42225
regex,,,75186536.0,42788
regex,,,76436379.0,43351
regex,,,77447731.0,43914
regex,,,78817550.0,44477
regex,,,79166880.0,45040
regex,,,79879406.0,45603
regex,,,80830625.0,46166
regex,,,82101447.0,46729
regex,,,82810727.0,47292
regex,,,83538412.0,47855
regex,,,84087160.0,48418
regex,,,85589350.0,48981
regex,,,86277681.0,49544
regex,,,87567479.0,50107
regex,,,88274064.0,50670
regex,,,89183664.0,51233
regex,,,90300495.0,51796
regex,,,91600913.0,52359
regex,,,92484944.0,52922
regex,,,93369014.0,53485
regex,,,94810610.0,54048
regex,,,95742582.0,54611
regex,,,96723846.0,55174
regex,,,97768591.0,55737
regex,,,98378133.0,56300
