group,function,value,sample_time_nanos,iteration_count
token,,,988418.0,58
token,,,1977959.0,116
token,,,2969022.0,174
token,,,3956409.0,232
token,,,4978510.0,290
token,,,5934387.0,348
token,,,6929037.0,406
token,,,7915321.0,464
token,,,8918919.0,522
token,,,9904692.0,580
token,,,10899041.0,638
token,,,11886216.0,696
token,,,12870277.0,754
token,,,13859888.0,812
token,,,14859818.0,870
token,,,15836995.0,928
token,,,16829872.0,986
token,,,17847214.0,1044
token,,,18800286.0,1102
token,,,19777914.0,1160
token,,,20786250.0,1218
token,,,21780780.0,1276
token,,,22768035.0,1334
token,,,23757516.0,1392
token,,,24743039.0,1450
token,,,25732359.0,1508
token,,,26721960.0,1566
token,,,27679088.0,1624
token,,,28657137.0,1682
token,,,29639123.0,1740
token,,,30609378.0,1798
token,,,31681193.0,1856
token,,,32646949.0,1914
token,,,33625268.0,1972
token,,,34633814.0,2030
token,,,35662428.0,2088
token,,,36637942.0,2146
token,,,37597236.0,2204
token,,,38598849.0,2262
token,,,39618496.0,2320
token,,,40535650.0,2378
token,,,41565758.0,2436
token,,,42515001.0,2494
token,,,43481518.0,2552
token,,,44448396.0,2610
token,,,45505484.0,2668
token,,,46467432.0,2726
token,,,47440221.0,2784
token,,,48433297.0,2842
token,,,49436846.0,2900
token,,,50416576.0,2958
token,,,51397190.0,3016
token,,,52475328.0,3074
token,,,53442005.0,3132
token,,,54434040.0,3190
token,,,55443699.0,3248
token,,,56414965.0,3306
token,,,57387363.0,3364
token,,,58326719.0,3422
token,,,59319034.0,3480
token,,,60306961.0,3538
token,,,61306341.0,3596
token,,,62234996.0,3654
token,,,63192876.0,3712
token,,,64182959.0,3770
token,,,65237380.0,3828
token,,,66210311.0,3886
token,,,67201853.0,3944
token,,,68268540.0,4002
token,,,69183068.0,4060
token,,,70238755.0,4118
token,,,71243453.0,4176
token,,,72195012.0,4234
token,,,73585801.0,4292
token,,,74970828.0,4350
token,,,76219498.0,4408
token,,,77223837.0,4466
token,,,78216905.0,4524
token,,,79252282.0,4582
token,,,80246982.0,4640
token,,,81287618.0,4698
token,,,82282749.0,4756
token,,,83267040.0,4814
token,,,84252402.0,4872
token,,,85290736.0,4930
token,,,86267722.0,4988
token,,,87280998.0,5046
token,,,88257604.0,5104
token,,,89370526.0,5162
token,,,90303039.0,5220
token,,,91202399.0,5278
token,,,92225724.0,5336
token,,,93199825.0,5394
token,,,94248928.0,5452
token,,,95258276.0,5510
token,,,96215966.0,5568
token,,,97134993.0,5626
token,,,98191951.0,5684
token,,,99306598.0,5742
token,,,100236506.0,5800
