group,function,value,sample_time_nanos,iteration_count
angular,,,20163214.0,1
angular,,,40302321.0,2
angular,,,60462588.0,3
angular,,,80476771.0,4
angular,,,100726959.0,5
angular,,,120754315.0,6
angular,,,140724954.0,7
angular,,,160999379.0,8
angular,,,181053396.0,9
angular,,,201183757.0,10
angular,,,221299871.0,11
angular,,,241416266.0,12
angular,,,261590090.0,13
angular,,,281717476.0,14
angular,,,301898502.0,15
angular,,,321900441.0,16
angular,,,342262991.0,17
angular,,,362053350.0,18
angular,,,382970408.0,19
angular,,,402671829.0,20
angular,,,422535035.0,21
angular,,,442900290.0,22
angular,,,462836695.0,23
angular,,,483126157.0,24
angular,,,503126462.0,25
angular,,,523254880.0,26
angular,,,543504667.0,27
angular,,,563696784.0,28
angular,,,583838769.0,29
angular,,,604400335.0,30
angular,,,623966809.0,31
angular,,,644005739.0,32
angular,,,664409766.0,33
angular,,,686958750.0,34
angular,,,704240347.0,35
angular,,,724436232.0,36
angular,,,744788993.0,37
angular,,,764427145.0,38
angular,,,784590848.0,39
angular,,,804923381.0,40
angular,,,825095311.0,41
angular,,,845239909.0,42
angular,,,865757452.0,43
angular,,,885520299.0,44
angular,,,907017564.0,45
angular,,,925681574.0,46
angular,,,945907004.0,47
angular,,,965972744.0,48
angular,,,986563705.0,49
angular,,,1006469893.0,50
angular,,,1026957850.0,51
angular,,,1048636187.0,52
angular,,,1067270872.0,53
angular,,,1086798804.0,54
angular,,,1106851398.0,55
angular,,,1126828589.0,56
angular,,,1147035094.0,57
angular,,,1167649130.0,58
angular,,,1187355850.0,59
angular,,,1207675860.0,60
angular,,,1227612986.0,61
angular,,,1248082578.0,62
angular,,,1267790119.0,63
angular,,,1287736994.0,64
angular,,,1307863729.0,65
angular,,,1328612348.0,66
angular,,,1348491133.0,67
angular,,,1368349871.0,68
angular,,,1388837387.0,69
angular,,,1409343408.0,70
angular,,,1428806628.0,71
angular,,,1448502468.0,72
angular,,,1469325188.0,73
angular,,,1488940736.0,74
angular,,,1509030780.0,75
angular,,,1529374505.0,76
angular,,,1548671721.0,77
angular,,,1569220462.0,78
angular,,,1589639579.0,79
angular,,,1609915216.0,80
angular,,,1629320125.0,81
angular,,,1649909533.0,82
angular,,,1670856478.0,83
angular,,,1693675861.0,84
angular,,,1710698478.0,85
angular,,,1731577614.0,86
angular,,,1750752420.0,87
angular,,,1771800084.0,88
angular,,,1790848860.0,89
angular,,,1811226669.0,90
angular,,,1831703725.0,91
angular,,,1851717095.0,92
angular,,,1874840935.0,93
angular,,,1892600253.0,94
angular,,,1912421069.0,95
angular,,,1932696514.0,96
angular,,,1953340145.0,97
angular,,,1972858078.0,98
angular,,,1993693021.0,99
angular,,,2014298318.0,100
