group,function,value,sample_time_nanos,iteration_count
comments,,,990031.0,884
comments,,,1981335.0,1768
comments,,,2971888.0,2652
comments,,,3971968.0,3536
comments,,,4977007.0,4420
comments,,,5947322.0,5304
comments,,,6941962.0,6188
comments,,,7928737.0,7072
comments,,,8929819.0,7956
comments,,,9875296.0,8840
comments,,,10869727.0,9724
comments,,,11699074.0,10608
comments,,,12793762.0,11492
comments,,,13652116.0,12376
comments,,,14736475.0,13260
comments,,,15705987.0,14144
comments,,,16842276.0,15028
comments,,,17728280.0,15912
comments,,,18537019.0,16796
comments,,,19830634.0,17680
comments,,,20442862.0,18564
comments,,,21731627.0,19448
comments,,,22557689.0,20332
comments,,,23475844.0,21216
comments,,,24534405.0,22100
comments,,,25472829.0,22984
comments,,,26663089.0,23868
comments,,,27301335.0,24752
comments,,,28339057.0,25636
comments,,,29345129.0,26520
comments,,,30497075.0,27404
comments,,,31440710.0,28288
comments,,,32526802.0,29172
comments,,,33398079.0,30056
comments,,,34570976.0,30940
comments,,,35373242.0,31824
comments,,,36077174.0,32708
comments,,,37262814.0,33592
comments,,,38204885.0,34476
comments,,,39223441.0,35360
comments,,,40331595.0,36244
comments,,,41137779.0,37128
comments,,,41997283.0,38012
comments,,,43053570.0,38896
comments,,,44205908.0,39780
comments,,,45009938.0,40664
comments,,,46272355.0,41548
comments,,,46942291.0,42432
comments,,,48159471.0,43316
comments,,,49034616.0,44200
comments,,,50195780.0,45084
comments,,,51103596.0,45968
comments,,,52003468.0,46852
comments,,,53429503.0,47736
comments,,,54051999.0,48620
comments,,,54570950.0,49504
comments,,,55854366.0,50388
comments,,,57083671.0,51272
comments,,,57852342.0,52156
comments,,,58864397.0,53040
comments,,,60051249.0,53924
comments,,,61017095.0,54808
comments,,,61624794.0,55692
comments,,,62911285.0,56576
comments,,,63778705.0,57460
comments,,,65239677.0,58344
comments,,,66094442.0,59228
comments,,,66983833.0,60112
comments,,,67645074.0,60996
comments,,,69084384.0,61880
comments,,,70397706.0,62764
comments,,,70864639.0,63648
comments,,,71960249.0,64532
comments,,,72802752.0,65416
comments,,,73955781.0,66300
comments,,,74955541.0,67184
comments,,,75189654.0,68068
comments,,,76835514.0,68952
comments,,,77293280.0,69836
comments,,,78679550.0,70720
comments,,,78983364.0,71604
comments,,,79775802.0,72488
comments,,,80915007.0,73372
comments,,,81636981.0,74256
comments,,,83096600.0,75140
comments,,,84063617.0,76024
comments,,,84794619.0,76908
comments,,,86161112.0,77792
comments,,,86765295.0,78676
comments,,,87715991.0,79560
comments,,,89158278.0,80444
comments,,,89825358.0,81328
comments,,,91359027.0,82212
comments,,,92054362.0,83096
comments,,,93470628.0,83980
comments,,,93989821.0,84864
comments,,,96354420.0,85748
comments,,,96347306.0,86632
comments,,,97988578.0,87516
comments,,,97794753.0,88400
