group,function,value,sample_time_nanos,iteration_count
jq,,,110009703.0,1
jq,,,218566039.0,2
jq,,,328062411.0,3
jq,,,438026319.0,4
jq,,,547709333.0,5
jq,,,656265509.0,6
jq,,,773009390.0,7
jq,,,886656820.0,8
jq,,,986897828.0,9
jq,,,1094949259.0,10
jq,,,1203259941.0,11
jq,,,1320565394.0,12
jq,,,1430610053.0,13
jq,,,1531093210.0,14
jq,,,1639772278.0,15
jq,,,1749182318.0,16
jq,,,1858335862.0,17
jq,,,1966711376.0,18
jq,,,2078840084.0,19
jq,,,2194531195.0,20
jq,,,2304274766.0,21
jq,,,2406338099.0,22
jq,,,2516649182.0,23
jq,,,2625479736.0,24
jq,,,2735064586.0,25
jq,,,2842470727.0,26
jq,,,2953192507.0,27
jq,,,3074577902.0,28
jq,,,3173714613.0,29
jq,,,3279638653.0,30
jq,,,3406429996.0,31
jq,,,3517994678.0,32
jq,,,3626742306.0,33
jq,,,3723122786.0,34
jq,,,3830632044.0,35
jq,,,3938480582.0,36
jq,,,4054453786.0,37
jq,,,4155577174.0,38
jq,,,4273173356.0,39
jq,,,4377494157.0,40
jq,,,4483871804.0,41
jq,,,4600514443.0,42
jq,,,4702215483.0,43
jq,,,4811472503.0,44
jq,,,4926636048.0,45
jq,,,5028813567.0,46
jq,,,5153389813.0,47
jq,,,5252467743.0,48
jq,,,5363400310.0,49
jq,,,5474173756.0,50
jq,,,5583142813.0,51
jq,,,5689944892.0,52
jq,,,5805398165.0,53
jq,,,5911961864.0,54
jq,,,6020801797.0,55
jq,,,6128505441.0,56
jq,,,6246897698.0,57
jq,,,6349947736.0,58
jq,,,6457692078.0,59
jq,,,6566209320.0,60
jq,,,6682988758.0,61
jq,,,6789320580.0,62
jq,,,6927810865.0,63
jq,,,7005102565.0,64
jq,,,7117610331.0,65
jq,,,7229535397.0,66
jq,,,7337666025.0,67
jq,,,7448014920.0,68
jq,,,7561096789.0,69
jq,,,7672479608.0,70
jq,,,7807154932.0,71
jq,,,7887464006.0,72
jq,,,7997055199.0,73
jq,,,8104296569.0,74
jq,,,8219188310.0,75
jq,,,8322584332.0,76
jq,,,8426690687.0,77
jq,,,8557373995.0,78
jq,,,8671350547.0,79
jq,,,8773500444.0,80
jq,,,8888464581.0,81
jq,,,8997818812.0,82
jq,,,9097832390.0,83
jq,,,9202166253.0,84
jq,,,9319468820.0,85
jq,,,9420244542.0,86
jq,,,9540683301.0,87
jq,,,9637295593.0,88
jq,,,9742706327.0,89
jq,,,9855993647.0,90
jq,,,9978212674.0,91
jq,,,10077523530.0,92
jq,,,10203347063.0,93
jq,,,10303736835.0,94
jq,,,10407213805.0,95
jq,,,10509251512.0,96
jq,,,10634926182.0,97
jq,,,10732540130.0,98
jq,,,10854412787.0,99
jq,,,10962776077.0,100
