group,function,value,sample_time_nanos,iteration_count
jq_min,,,90502635.0,1
jq_min,,,181204319.0,2
jq_min,,,272222504.0,3
jq_min,,,362680330.0,4
jq_min,,,453223509.0,5
jq_min,,,544041548.0,6
jq_min,,,629431581.0,7
jq_min,,,720414726.0,8
jq_min,,,812169588.0,9
jq_min,,,902161716.0,10
jq_min,,,991979960.0,11
jq_min,,,1082283340.0,12
jq_min,,,1170802816.0,13
jq_min,,,1262486362.0,14
jq_min,,,1356285309.0,15
jq_min,,,1439797517.0,16
jq_min,,,1527609138.0,17
jq_min,,,1620021022.0,18
jq_min,,,1714022870.0,19
jq_min,,,1805168716.0,20
jq_min,,,1890211888.0,21
jq_min,,,1981327280.0,22
jq_min,,,2071343967.0,23
jq_min,,,2161244805.0,24
jq_min,,,2251823875.0,25
jq_min,,,2345940244.0,26
jq_min,,,2433816016.0,27
jq_min,,,2522188418.0,28
jq_min,,,2607419758.0,29
jq_min,,,2701707204.0,30
jq_min,,,2786633568.0,31
jq_min,,,2879273894.0,32
jq_min,,,2968756131.0,33
jq_min,,,3058583972.0,34
jq_min,,,3149933814.0,35
jq_min,,,3240474665.0,36
jq_min,,,3332162568.0,37
jq_min,,,3427414186.0,38
jq_min,,,3513193128.0,39
jq_min,,,3605426829.0,40
jq_min,,,3695279676.0,41
jq_min,,,3778204693.0,42
jq_min,,,3866828372.0,43
jq_min,,,3962007766.0,44
jq_min,,,4054660510.0,45
jq_min,,,4139642084.0,46
jq_min,,,4228672022.0,47
jq_min,,,4342519838.0,48
jq_min,,,4414068869.0,49
jq_min,,,4498211617.0,50
jq_min,,,4589174243.0,51
jq_min,,,4676667558.0,52
jq_min,,,4770067343.0,53
jq_min,,,4861315411.0,54
jq_min,,,4964509769.0,55
jq_min,,,5058444656.0,56
jq_min,,,5184077345.0,57
jq_min,,,5249430831.0,58
jq_min,,,5349159574.0,59
jq_min,,,5437287439.0,60
jq_min,,,5522155950.0,61
jq_min,,,5611358390.0,62
jq_min,,,5703788294.0,63
jq_min,,,5790355940.0,64
jq_min,,,5860628757.0,65
jq_min,,,5955908161.0,66
jq_min,,,6057216199.0,67
jq_min,,,6130366625.0,68
jq_min,,,6217969591.0,69
jq_min,,,6304772611.0,70
jq_min,,,6394594504.0,71
jq_min,,,6485563210.0,72
jq_min,,,6573957552.0,73
jq_min,,,6669100240.0,74
jq_min,,,6760901209.0,75
jq_min,,,6907011265.0,76
jq_min,,,6974801275.0,77
jq_min,,,7039775488.0,78
jq_min,,,7117161025.0,79
jq_min,,,7209390548.0,80
jq_min,,,7322274012.0,81
jq_min,,,7389695990.0,82
jq_min,,,7473250187.0,83
jq_min,,,7574563212.0,84
jq_min,,,7663383495.0,85
jq_min,,,7751812242.0,86
jq_min,,,7831677556.0,87
jq_min,,,7936464616.0,88
jq_min,,,8025583314.0,89
jq_min,,,8127176317.0,90
jq_min,,,8196596449.0,91
jq_min,,,8287441895.0,92
jq_min,,,8383184650.0,93
jq_min,,,8481374051.0,94
jq_min,,,8570046020.0,95
jq_min,,,8649321252.0,96
jq_min,,,8740859932.0,97
jq_min,,,8825105599.0,98
jq_min,,,8931354649.0,99
jq_min,,,9012055484.0,100
