group,function,value,sample_time_nanos,iteration_count
numbers,,,990241.0,575
numbers,,,1959464.0,1150
numbers,,,2957099.0,1725
numbers,,,3942983.0,2300
numbers,,,4912085.0,2875
numbers,,,6061076.0,3450
numbers,,,6994391.0,4025
numbers,,,8057650.0,4600
numbers,,,8944086.0,5175
numbers,,,9788914.0,5750
numbers,,,10921183.0,6325
numbers,,,11968783.0,6900
numbers,,,12857344.0,7475
numbers,,,13985375.0,8050
numbers,,,14612701.0,8625
numbers,,,15814704.0,9200
numbers,,,16752535.0,9775
numbers,,,17801178.0,10350
numbers,,,18965768.0,10925
numbers,,,19717861.0,11500
numbers,,,20727369.0,12075
numbers,,,21655333.0,12650
numbers,,,22613143.0,13225
numbers,,,24232023.0,13800
numbers,,,25016056.0,14375
numbers,,,25770421.0,14950
numbers,,,26519247.0,15525
numbers,,,27296356.0,16100
numbers,,,28419278.0,16675
numbers,,,29365457.0,17250
numbers,,,30559033.0,17825
numbers,,,31495273.0,18400
numbers,,,32770553.0,18975
numbers,,,33801061.0,19550
numbers,,,34780312.0,20125
numbers,,,35710379.0,20700
numbers,,,36499060.0,21275
numbers,,,37397860.0,21850
numbers,,,38197792.0,22425
numbers,,,39315014.0,23000
numbers,,,39890170.0,23575
numbers,,,41394654.0,24150
numbers,,,42028042.0,24725
numbers,,,43368685.0,25300
numbers,,,44146146.0,25875
numbers,,,45277594.0,26450
numbers,,,46072156.0,27025
numbers,,,47216950.0,27600
numbers,,,48195228.0,28175
numbers,,,49750419.0,28750
numbers,,,50083078.0,29325
numbers,,,51239603.0,29900
numbers,,,52082297.0,30475
numbers,,,53269981.0,31050
numbers,,,54080243.0,31625
numbers,,,55245876.0,32200
numbers,,,56036361.0,32775
numbers,,,57238052.0,33350
numbers,,,58101283.0,33925
numbers,,,59584156.0,34500
numbers,,,60696088.0,35075
numbers,,,61250977.0,35650
numbers,,,62223776.0,36225
numbers,,,62696810.0,36800
numbers,,,63916646.0,37375
numbers,,,65484810.0,37950
numbers,,,65899694.0,38525
numbers,,,66926394.0,39100
numbers,,,68209360.0,39675
numbers,,,69362970.0,40250
numbers,,,69793995.0,40825
numbers,,,71025753.0,41400
numbers,,,71744122.0,41975
numbers,,,73024471.0,42550
numbers,,,74202488.0,43125
numbers,,,75237604.0,43700
numbers,,,75553813.0,44275
numbers,,,76736287.0,44850
numbers,,,76837308.0,45425
numbers,,,78760905.0,46000
numbers,,,79834984.0,46575
numbers,,,80379975.0,47150
numbers,,,81808545.0,47725
numbers,,,82411675.0,48300
numbers,,,83890671.0,48875
numbers,,,84737962.0,49450
numbers,,,86037690.0,50025
numbers,,,87380998.0,50600
numbers,,,88327417.0,51175
numbers,,,89373966.0,51750
numbers,,,90265861.0,52325
numbers,,,91434760.0,52900
numbers,,,91447865.0,53475
numbers,,,92823675.0,54050
numbers,,,93717115.0,54625
numbers,,,95031569.0,55200
numbers,,,96443828.0,55775
numbers,,,97087516.0,56350
numbers,,,97541333.0,56925
numbers,,,98324234.0,57500
