group,function,value,sample_time_nanos,iteration_count
punct,,,991705.0,478
punct,,,1987456.0,956
punct,,,2978129.0,1434
punct,,,3912296.0,1912
punct,,,4964504.0,2390
punct,,,5987958.0,2868
punct,,,6940739.0,3346
punct,,,8028075.0,3824
punct,,,9027022.0,4302
punct,,,9903861.0,4780
punct,,,10914790.0,5258
punct,,,11981236.0,5736
punct,,,12858416.0,6214
punct,,,13826163.0,6692
punct,,,15020862.0,7170
punct,,,15825323.0,7648
punct,,,16814262.0,8126
punct,,,17775960.0,8604
punct,,,18789055.0,9082
punct,,,19751183.0,9560
punct,,,20757266.0,10038
punct,,,21799244.0,10516
punct,,,22727619.0,10994
punct,,,23653600.0,11472
punct,,,24548241.0,11950
punct,,,25595230.0,12428
punct,,,26690700.0,12906
punct,,,27776203.0,13384
punct,,,28827900.0,13862
punct,,,29927328.0,14340
punct,,,30674561.0,14818
punct,,,31623875.0,15296
punct,,,32574182.0,15774
punct,,,33443544.0,16252
punct,,,34436311.0,16730
punct,,,35626792.0,17208
punct,,,36623695.0,17686
punct,,,37489021.0,18164
punct,,,38559024.0,18642
punct,,,39500273.0,19120
punct,,,40788889.0,19598
punct,,,41532344.0,20076
punct,,,42484083.0,20554
punct,,,43508699.0,21032
punct,,,44417198.0,21510
punct,,,45722523.0,21988
punct,,,46605273.0,22466
punct,,,47478593.0,22944
punct,,,48550209.0,23422
punct,,,49500205.0,23900
punct,,,50294556.0,24378
punct,,,51015930.0,24856
punct,,,52504654.0,25334
punct,,,53534941.0,25812
punct,,,54452976.0,26290
punct,,,55333922.0,26768
punct,,,56385529.0,27246
punct,,,57777049.0,27724
punct,,,58362776.0,28202
punct,,,59524272.0,28680
punct,,,60387774.0,29158
punct,,,61482975.0,29636
punct,,,62380430.0,30114
punct,,,63243222.0,30592
punct,,,64122003.0,31070
punct,,,65018697.0,31548
punct,,,65913750.0,32026
punct,,,66695627.0,32504
punct,,,67949728.0,32982
punct,,,69080355.0,33460
punct,,,70962612.0,33938
punct,,,71340887.0,34416
punct,,,72195774.0,34894
punct,,,73246609.0,35372
punct,,,74065457.0,35850
punct,,,75099743.0,36328
punct,,,76221533.0,36806
punct,,,77447540.0,37284
punct,,,78105964.0,37762
punct,,,78774328.0,38240
punct,,,79757546.0,38718
punct,,,81350358.0,39196
punct,,,81952345.0,39674
punct,,,82863487.0,40152
punct,,,83880690.0,40630
punct,,,84979197.0,41108
punct,,,85826798.0,41586
punct,,,87329049.0,42064
punct,,,88184435.0,42542
punct,,,89037267.0,43020
punct,,,90398480.0,43498
punct,,,91263926.0,43976
punct,,,91900790.0,44454
punct,,,92179607.0,44932
punct,,,93682387.0,45410
punct,,,94328638.0,45888
punct,,,95967356.0,46366
punct,,,97056144.0,46844
punct,,,98227028.0,47322
punct,,,99290027.0,47800
