group,function,value,sample_time_nanos,iteration_count
regex,,,995031.0,472
regex,,,1993939.0,944
regex,,,3085072.0,1416
regex,,,3946961.0,1888
regex,,,4954545.0,2360
regex,,,5966859.0,2832
regex,,,6908699.0,3304
regex,,,8084401.0,3776
regex,,,8965898.0,4248
regex,,,9965336.0,4720
regex,,,10899873.0,5192
regex,,,11875487.0,5664
regex,,,12891738.0,6136
regex,,,13873043.0,6608
regex,,,14988090.0,7080
regex,,,16070096.0,7552
regex,,,16985856.0,8024
regex,,,18822969.0,8496
regex,,,18897520.0,8968
regex,,,19809825.0,9440
regex,,,20844951.0,9912
regex,,,21797031.0,10384
regex,,,22773627.0,10856
regex,,,23709075.0,11328
regex,,,24677907.0,11800
regex,,,25621600.0,12272
regex,,,26649112.0,12744
regex,,,27641599.0,13216
regex,,,28778878.0,13688
regex,,,29812462.0,14160
regex,,,30840615.0,14632
regex,,,31714948.0,15104
regex,,,32989327.0,15576
regex,,,33747910.0,16048
regex,,,34868719.0,16520
regex,,,35846657.0,16992
regex,,,36719136.0,17464
regex,,,37607506.0,17936
regex,,,38798367.0,18408
regex,,,39681897.0,18880
regex,,,40395706.0,19352
regex,,,41574173.0,19824
regex,,,42624950.0,20296
regex,,,43738234.0,20768
regex,,,44684082.0,21240
regex,,,45715491.0,21712
regex,,,47186513.0,22184
regex,,,47729098.0,22656
regex,,,48770437.0,23128
regex,,,49778170.0,23600
regex,,,50776117.0,24072
regex,,,51489015.0,24544
regex,,,52354381.0,25016
regex,,,53441055.0,25488
regex,,,54624311.0,25960
regex,,,55170534.0,26432
regex,,,56288356.0,26904
regex,,,57483435.0,27376
regex,,,58455924.0,27848
regex,,,59886808.0,28320
regex,,,60717158.0,28792
regex,,,61535254.0,29264
regex,,,62558318.0,29736
regex,,,63508474.0,30208
regex,,,64387004.0,30680
regex,,,65791059.0,31152
regex,,,66402775.0,31624
regex,,,67089143.0,32096
regex,,,68943718.0,32568
regex,,,69447670.0,33040
regex,,,70384722.0,33512
regex,,,71075978.0,33984
regex,,,72284923.0,34456
regex,,,72444425.0,34928
regex,,,73739914.0,35400
regex,,,74852537.0,35872
regex,,,76197108.0,36344
regex,,,77494381.0,36816
regex,,,78521192.0,37288
regex,,,79447452.0,37760
regex,,,80348144.0,38232
regex,,,81127749.0,38704
regex,,,82277932.0,39176
regex,,,82814417.0,39648
regex,,,84436993.0,40120
regex,,,85856967.0,40592
regex,,,86348567.0,41064
regex,,,87603789.0,41536
regex,,,88565668.0,42008
regex,,,89671167.0,42480
regex,,,90990410.0,42952
regex,,,91247487.0,43424
regex,,,92647332.0,43896
regex,,,93411648.0,44368
regex,,,94788379.0,44840
regex,,,95275761.0,45312
regex,,,96001763.0,45784
regex,,,97306278.0,46256
regex,,,98021391.0,46728
regex,,,99687860.0,47200
