group,function,value,sample_time_nanos,iteration_count
scanner,,,991935.0,113
scanner,,,1976856.0,226
scanner,,,2963070.0,339
scanner,,,3948464.0,452
scanner,,,4972690.0,565
scanner,,,5909279.0,678
scanner,,,6912917.0,791
scanner,,,7974393.0,904
scanner,,,8894512.0,1017
scanner,,,9921824.0,1130
scanner,,,10875397.0,1243
scanner,,,11871399.0,1356
scanner,,,12852854.0,1469
scanner,,,13895195.0,1582
scanner,,,14830132.0,1695
scanner,,,15806227.0,1808
scanner,,,16829320.0,1921
scanner,,,17821677.0,2034
scanner,,,18801378.0,2147
scanner,,,19817619.0,2260
scanner,,,20790538.0,2373
scanner,,,21796811.0,2486
scanner,,,22774237.0,2599
scanner,,,23811347.0,2712
scanner,,,24798284.0,2825
scanner,,,25784257.0,2938
scanner,,,26789898.0,3051
scanner,,,27770191.0,3164
scanner,,,28722751.0,3277
scanner,,,29723713.0,3390
scanner,,,30733943.0,3503
scanner,,,31744823.0,3616
scanner,,,32681494.0,3729
scanner,,,33564153.0,3842
scanner,,,34592306.0,3955
scanner,,,35536701.0,4068
scanner,,,36618937.0,4181
scanner,,,37651759.0,4294
scanner,,,38555256.0,4407
scanner,,,39596255.0,4520
scanner,,,40629387.0,4633
scanner,,,41598880.0,4746
scanner,,,42754864.0,4859
scanner,,,43733274.0,4972
scanner,,,45077415.0,5085
scanner,,,45539467.0,5198
scanner,,,46657771.0,5311
scanner,,,47454826.0,5424
scanner,,,48526502.0,5537
scanner,,,49547791.0,5650
scanner,,,50489913.0,5763
scanner,,,51519296.0,5876
scanner,,,52504409.0,5989
scanner,,,53336502.0,6102
scanner,,,54253405.0,6215
scanner,,,55316834.0,6328
scanner,,,56394210.0,6441
scanner,,,57601071.0,6554
scanner,,,58493738.0,6667
scanner,,,59379922.0,6780
scanner,,,60530607.0,6893
scanner,,,61474942.0,7006
scanner,,,62624544.0,7119
scanner,,,63465383.0,7232
scanner,,,64512842.0,7345
scanner,,,65518183.0,7458
scanner,,,66531527.0,7571
scanner,,,67390911.0,7684
scanner,,,68963734.0,7797
scanner,,,69212684.0,7910
scanner,,,70289309.0,8023
scanner,,,71328712.0,8136
scanner,,,72414225.0,8249
scanner,,,73404725.0,8362
scanner,,,74365431.0,8475
scanner,,,75453297.0,8588
scanner,,,76548957.0,8701
scanner,,,77269910.0,8814
scanner,,,78411997.0,8927
scanner,,,79201219.0,9040
scanner,,,80215967.0,9153
scanner,,,81304524.0,9266
scanner,,,82182764.0,9379
scanner,,,82966385.0,9492
scanner,,,83917753.0,9605
scanner,,,85155942.0,9718
scanner,,,86116377.0,9831
scanner,,,87121367.0,9944
scanner,,,88132428.0,10057
scanner,,,89179255.0,10170
scanner,,,90082202.0,10283
scanner,,,91228377.0,10396
scanner,,,92232455.0,10509
scanner,,,93097079.0,10622
scanner,,,94044550.0,10735
scanner,,,94949219.0,10848
scanner,,,95915906.0,10961
scanner,,,97152924.0,11074
scanner,,,98291676.0,11187
scanner,,,99410310.0,11300
