group,function,value,sample_time_nanos,iteration_count
vue,,,136886729.0,1
vue,,,273501013.0,2
vue,,,410631293.0,3
vue,,,547314528.0,4
vue,,,681444612.0,5
vue,,,818648152.0,6
vue,,,954696836.0,7
vue,,,1090927745.0,8
vue,,,1228350850.0,9
vue,,,1364621976.0,10
vue,,,1500684447.0,11
vue,,,1637655138.0,12
vue,,,1775128408.0,13
vue,,,1910127649.0,14
vue,,,2045156085.0,15
vue,,,2182063737.0,16
vue,,,2310023393.0,17
vue,,,2448384564.0,18
vue,,,2581600674.0,19
vue,,,2716441428.0,20
vue,,,2851183996.0,21
vue,,,2991517842.0,22
vue,,,3141334728.0,23
vue,,,3265748899.0,24
vue,,,3397711070.0,25
vue,,,3545466558.0,26
vue,,,3667021260.0,27
vue,,,3806019413.0,28
vue,,,3953607256.0,29
vue,,,4079805776.0,30
vue,,,4207875777.0,31
vue,,,4342684197.0,32
vue,,,4478606413.0,33
vue,,,4617888867.0,34
vue,,,4754739942.0,35
vue,,,4887011876.0,36
vue,,,5020987433.0,37
vue,,,5178538490.0,38
vue,,,5302154830.0,39
vue,,,5426858078.0,40
vue,,,5560953986.0,41
vue,,,5703274394.0,42
vue,,,5838922969.0,43
vue,,,5970270278.0,44
vue,,,6112361063.0,45
vue,,,6256636211.0,46
vue,,,6380709523.0,47
vue,,,6517965483.0,48
vue,,,6649681775.0,49
vue,,,6805623797.0,50
vue,,,6929446786.0,51
vue,,,7058980111.0,52
vue,,,7199748279.0,53
vue,,,7339458266.0,54
vue,,,7470967340.0,55
vue,,,7608321392.0,56
vue,,,7759732387.0,57
vue,,,7878802581.0,58
vue,,,8017936232.0,59
vue,,,8146558157.0,60
vue,,,8281718281.0,61
vue,,,8420977271.0,62
vue,,,8558412320.0,63
vue,,,8693854189.0,64
vue,,,8836962504.0,65
vue,,,8994108986.0,66
vue,,,9104411107.0,67
vue,,,9241838005.0,68
vue,,,9381910337.0,69
vue,,,9553166885.0,70
vue,,,9653271407.0,71
vue,,,9793796928.0,72
vue,,,9924714053.0,73
vue,,,10049800738.0,74
vue,,,10187741090.0,75
vue,,,10319890728.0,76
vue,,,10446117370.0,77
vue,,,10589278130.0,78
vue,,,10727904842.0,79
vue,,,10857950902.0,80
vue,,,10997693867.0,81
vue,,,11136637340.0,82
vue,,,11273700617.0,83
vue,,,11458522034.0,84
vue,,,11549644989.0,85
vue,,,11677436205.0,86
vue,,,11814521484.0,87
vue,,,11937430504.0,88
vue,,,12105230270.0,89
vue,,,12229488574.0,90
vue,,,12401769249.0,91
vue,,,12491829164.0,92
vue,,,12659096535.0,93
vue,,,12793313459.0,94
vue,,,12926881396.0,95
vue,,,13070738559.0,96
vue,,,13181392935.0,97
vue,,,13309202839.0,98
vue,,,13459252718.0,99
vue,,,13599113630.0,100
