group,function,value,sample_time_nanos,iteration_count
vue_min,,,7400830.0,1
vue_min,,,14806087.0,2
vue_min,,,22197779.0,3
vue_min,,,29588368.0,4
vue_min,,,37023783.0,5
vue_min,,,44378585.0,6
vue_min,,,51798280.0,7
vue_min,,,59177689.0,8
vue_min,,,66622060.0,9
vue_min,,,73995386.0,10
vue_min,,,81402017.0,11
vue_min,,,88777989.0,12
vue_min,,,96177826.0,13
vue_min,,,103592622.0,14
vue_min,,,110997719.0,15
vue_min,,,118764580.0,16
vue_min,,,125828502.0,17
vue_min,,,133137778.0,18
vue_min,,,140568785.0,19
vue_min,,,148029777.0,20
vue_min,,,155359823.0,21
vue_min,,,162785249.0,22
vue_min,,,170128368.0,23
vue_min,,,177654635.0,24
vue_min,,,184945606.0,25
vue_min,,,192369409.0,26
vue_min,,,199779125.0,27
vue_min,,,207118227.0,28
vue_min,,,214510029.0,29
vue_min,,,221952217.0,30
vue_min,,,229347044.0,31
vue_min,,,236702367.0,32
vue_min,,,244105922.0,33
vue_min,,,251498475.0,34
vue_min,,,258950241.0,35
vue_min,,,266318769.0,36
vue_min,,,273715560.0,37
vue_min,,,281076664.0,38
vue_min,,,288556252.0,39
vue_min,,,296433301.0,40
vue_min,,,303342351.0,41
vue_min,,,310996208.0,42
vue_min,,,318214482.0,43
vue_min,,,325490676.0,44
vue_min,,,332821423.0,45
vue_min,,,340274421.0,46
vue_min,,,347634773.0,47
vue_min,,,355048166.0,48
vue_min,,,362409440.0,49
vue_min,,,369813726.0,50
vue_min,,,377260432.0,51
vue_min,,,384594064.0,52
vue_min,,,391996526.0,53
vue_min,,,399944288.0,54
vue_min,,,406784238.0,55
vue_min,,,414214713.0,56
vue_min,,,421540160.0,57
vue_min,,,429040147.0,58
vue_min,,,436374659.0,59
vue_min,,,443774658.0,60
vue_min,,,451157081.0,61
vue_min,,,458542011.0,62
vue_min,,,465947579.0,63
vue_min,,,473350272.0,64
vue_min,,,480712689.0,65
vue_min,,,488380121.0,66
vue_min,,,495508385.0,67
vue_min,,,503393700.0,68
vue_min,,,510319682.0,69
vue_min,,,517760585.0,70
vue_min,,,525138873.0,71
vue_min,,,532507000.0,72
vue_min,,,539956812.0,73
vue_min,,,547383249.0,74
vue_min,,,556197561.0,75
vue_min,,,562208652.0,76
vue_min,,,569724590.0,77
vue_min,,,577001424.0,78
vue_min,,,584382216.0,79
vue_min,,,591820365.0,80
vue_min,,,599179304.0,81
vue_min,,,606473663.0,82
vue_min,,,613884070.0,83
vue_min,,,621663495.0,84
vue_min,,,628694114.0,85
vue_min,,,636054487.0,86
vue_min,,,643493137.0,87
vue_min,,,650904065.0,88
vue_min,,,658222920.0,89
vue_min,,,665669875.0,90
vue_min,,,673674796.0,91
vue_min,,,680483096.0,92
vue_min,,,688000645.0,93
vue_min,,,695404330.0,94
vue_min,,,702723324.0,95
vue_min,,,710058049.0,96
vue_min,,,717469809.0,97
vue_min,,,724840410.0,98
vue_min,,,732757776.0,99
vue_min,,,739606221.0,100
