group,function,value,sample_time_nanos,iteration_count
bools,,,1012854.0,9109
bools,,,2030067.0,18218
bools,,,3062178.0,27327
bools,,,4038033.0,36436
bools,,,5124856.0,45545
bools,,,6139084.0,54654
bools,,,7120730.0,63763
bools,,,8103257.0,72872
bools,,,9341217.0,81981
bools,,,10232391.0,91090
bools,,,10570931.0,100199
bools,,,11514014.0,109308
bools,,,12882019.0,118417
bools,,,13824130.0,127526
bools,,,15043125.0,136635
bools,,,16034498.0,145744
bools,,,17092809.0,154853
bools,,,18016354.0,163962
bools,,,18799605.0,173071
bools,,,19831325.0,182180
bools,,,20288229.0,191289
bools,,,21742187.0,200398
bools,,,22793724.0,209507
bools,,,23854800.0,218616
bools,,,25092340.0,227725
bools,,,26326471.0,236834
bools,,,27475955.0,245943
bools,,,28258133.0,255052
bools,,,28980429.0,264161
bools,,,29741547.0,273270
bools,,,30732440.0,282379
bools,,,31458002.0,291488
bools,,,31611632.0,300597
bools,,,34080037.0,309706
bools,,,35155481.0,318815
bools,,,35703546.0,327924
bools,,,35035834.0,337033
bools,,,37128691.0,346142
bools,,,39284054.0,355251
bools,,,39264427.0,364360
bools,,,40271441.0,373469
bools,,,40777868.0,382578
bools,,,41512446.0,391687
bools,,,43202060.0,400796
bools,,,43412979.0,409905
bools,,,44534408.0,419014
bools,,,46485867.0,428123
bools,,,47573443.0,437232
bools,,,49090440.0,446341
bools,,,47716543.0,455450
bools,,,50835288.0,464559
bools,,,52367465.0,473668
bools,,,53885463.0,482777
bools,,,54066256.0,491886
bools,,,55303444.0,500995
bools,,,54041147.0,510104
bools,,,53615594.0,519213
bools,,,55301210.0,528322
bools,,,58906374.0,537431
bools,,,58431096.0,546540
bools,,,57699402.0,555649
bools,,,60058973.0,564758
bools,,,60904040.0,573867
bools,,,64385249.0,582976
bools,,,64148824.0,592085
bools,,,65747845.0,601194
bools,,,66625834.0,610303
bools,,,65579678.0,619412
bools,,,65377646.0,628521
bools,,,66081506.0,637630
bools,,,67642917.0,646739
bools,,,68047703.0,655848
bools,,,69868885.0,664957
bools,,,70622058.0,674066
bools,,,73676362.0,683175
bools,,,76039309.0,692284
bools,,,75046010.0,701393
bools,,,74857354.0,710502
bools,,,76045079.0,719611
bools,,,79242633.0,728720
bools,,,79084174.0,737829
bools,,,79623783.0,746938
bools,,,83077472.0,756047
bools,,,81962644.0,765156
bools,,,82307928.0,774265
bools,,,84465976.0,783374
bools,,,82263895.0,792483
bools,,,83066971.0,801592
bools,,,84259166.0,810701
bools,,,87859420.0,819810
bools,,,91397498.0,828919
bools,,,91796532.0,838028
bools,,,91389533.0,847137
bools,,,92687196.0,856246
bools,,,95130965.0,865355
bools,,,91647771.0,874464
bools,,,97011369.0,883573
bools,,,94239449.0,892682
bools,,,97072355.0,901791
bools,,,99570257.0,910900
