group,function,value,sample_time_nanos,iteration_count
idents,,,978029.0,685
idents,,,1958332.0,1370
idents,,,2919899.0,2055
idents,,,3899240.0,2740
idents,,,4930810.0,3425
idents,,,5899411.0,4110
idents,,,6861680.0,4795
idents,,,7825221.0,5480
idents,,,8831935.0,6165
idents,,,9810494.0,6850
idents,,,10757413.0,7535
idents,,,11761973.0,8220
idents,,,12738078.0,8905
idents,,,13710646.0,9590
idents,,,14706989.0,10275
idents,,,15654339.0,10960
idents,,,16575041.0,11645
idents,,,17545705.0,12330
idents,,,18535396.0,13015
idents,,,19639032.0,13700
idents,,,20351128.0,14385
idents,,,21458992.0,15070
idents,,,22439555.0,15755
idents,,,23402475.0,16440
idents,,,24810037.0,17125
idents,,,25363903.0,17810
idents,,,26356169.0,18495
idents,,,27244898.0,19180
idents,,,28181479.0,19865
idents,,,29232124.0,20550
idents,,,30251232.0,21235
idents,,,31139851.0,21920
idents,,,32054279.0,22605
idents,,,33149309.0,23290
idents,,,34033721.0,23975
idents,,,35322426.0,24660
idents,,,36319001.0,25345
idents,,,37038550.0,26030
idents,,,38256152.0,26715
idents,,,39085550.0,27400
idents,,,40140574.0,28085
idents,,,41272844.0,28770
idents,,,42424391.0,29455
idents,,,42905951.0,30140
idents,,,43750337.0,30825
idents,,,44958361.0,31510
idents,,,45858783.0,32195
idents,,,46870816.0,32880
idents,,,47859414.0,33565
idents,,,48948913.0,34250
idents,,,49718979.0,34935
idents,,,50495407.0,35620
idents,,,51548678.0,36305
idents,,,52592170.0,36990
idents,,,54062620.0,37675
idents,,,54793591.0,38360
idents,,,55559008.0,39045
idents,,,56786879.0,39730
idents,,,57990484.0,40415
idents,,,58725864.0,41100
idents,,,59938395.0,41785
idents,,,61324166.0,42470
idents,,,62212465.0,43155
idents,,,63254614.0,43840
idents,,,64482967.0,44525
idents,,,65421991.0,45210
idents,,,66349905.0,45895
idents,,,67583948.0,46580
idents,,,68139277.0,47265
idents,,,69112918.0,47950
idents,,,69900807.0,48635
idents,,,70970219.0,49320
idents,,,72016647.0,50005
idents,,,72842818.0,50690
idents,,,73635586.0,51375
idents,,,75072282.0,52060
idents,,,76145771.0,52745
idents,,,76326393.0,53430
idents,,,77153055.0,54115
idents,,,77951074.0,54800
idents,,,79091479.0,55485
idents,,,80461649.0,56170
idents,,,81532904.0,56855
idents,,,82244910.0,57540
idents,,,83272022.0,58225
idents,,,84421905.0,58910
idents,,,85525651.0,59595
idents,,,86598248.0,60280
idents,,,87455218.0,60965
idents,,,87860274.0,61650
idents,,,89782117.0,62335
idents,,,91320374.0,63020
idents,,,91875904.0,63705
idents,,,92048521.0,64390
idents,,,93052368.0,65075
idents,,,94460811.0,65760
idents,,,95041668.0,66445
idents,,,96903378.0,67130
idents,,,99244974.0,67815
idents,,,99351985.0,68500
