group,function,value,sample_time_nanos,iteration_count
punct,,,989400.0,236
punct,,,1975084.0,472
punct,,,3005972.0,708
punct,,,3948964.0,944
punct,,,4987047.0,1180
punct,,,5895935.0,1416
punct,,,6945688.0,1652
punct,,,7922115.0,1888
punct,,,8933747.0,2124
punct,,,10008648.0,2360
punct,,,10914801.0,2596
punct,,,11969685.0,2832
punct,,,12930712.0,3068
punct,,,13834671.0,3304
punct,,,14829179.0,3540
punct,,,15814293.0,3776
punct,,,16839340.0,4012
punct,,,17824041.0,4248
punct,,,18681483.0,4484
punct,,,19706719.0,4720
punct,,,20763758.0,4956
punct,,,21701130.0,5192
punct,,,22748008.0,5428
punct,,,23753339.0,5664
punct,,,24684770.0,5900
punct,,,25680401.0,6136
punct,,,26787263.0,6372
punct,,,27629315.0,6608
punct,,,28564203.0,6844
punct,,,29626420.0,7080
punct,,,30686284.0,7316
punct,,,31714577.0,7552
punct,,,32551439.0,7788
punct,,,33674672.0,8024
punct,,,34527874.0,8260
punct,,,35617694.0,8496
punct,,,36544818.0,8732
punct,,,37487399.0,8968
punct,,,38585735.0,9204
punct,,,39499562.0,9440
punct,,,40628766.0,9676
punct,,,41435481.0,9912
punct,,,42556481.0,10148
punct,,,43712847.0,10384
punct,,,44403852.0,10620
punct,,,45507409.0,10856
punct,,,46434972.0,11092
punct,,,47457685.0,11328
punct,,,48360130.0,11564
punct,,,49071004.0,11800
punct,,,50274680.0,12036
punct,,,51349722.0,12272
punct,,,52368308.0,12508
punct,,,53436055.0,12744
punct,,,54289408.0,12980
punct,,,55392824.0,13216
punct,,,56224646.0,13452
punct,,,57262548.0,13688
punct,,,58485680.0,13924
punct,,,59441608.0,14160
punct,,,60108647.0,14396
punct,,,61317353.0,14632
punct,,,62309238.0,14868
punct,,,62907849.0,15104
punct,,,64279932.0,15340
punct,,,65402474.0,15576
punct,,,66276726.0,15812
punct,,,67445025.0,16048
punct,,,68421762.0,16284
punct,,,69230850.0,16520
punct,,,70284753.0,16756
punct,,,71143115.0,16992
punct,,,72091438.0,17228
punct,,,73123518.0,17464
punct,,,74545016.0,17700
punct,,,75190275.0,17936
punct,,,76120474.0,18172
punct,,,77243807.0,18408
punct,,,78356561.0,18644
punct,,,79299473.0,18880
punct,,,80178524.0,19116
punct,,,81201678.0,19352
punct,,,82120254.0,19588
punct,,,83150632.0,19824
punct,,,84296108.0,20060
punct,,,84905889.0,20296
punct,,,85959772.0,20532
punct,,,86845346.0,20768
punct,,,87654135.0,21004
punct,,,88738605.0,21240
punct,,,89884791.0,21476
punct,,,90844875.0,21712
punct,,,91924196.0,21948
punct,,,92942942.0,22184
punct,,,93609522.0,22420
punct,,,95246425.0,22656
punct,,,95646892.0,22892
punct,,,96677440.0,23128
punct,,,97313513.0,23364
punct,,,98661741.0,23600
