group,function,value,sample_time_nanos,iteration_count
react,,,2433410.0,1
react,,,4863994.0,2
react,,,7349933.0,3
react,,,9723269.0,4
react,,,12186385.0,5
react,,,14603524.0,6
react,,,17029600.0,7
react,,,19453943.0,8
react,,,21895938.0,9
react,,,24315341.0,10
react,,,26747449.0,11
react,,,29188072.0,12
react,,,31613847.0,13
react,,,34047608.0,14
react,,,36509762.0,15
react,,,38907263.0,16
react,,,41329893.0,17
react,,,43766127.0,18
react,,,46203895.0,19
react,,,48657644.0,20
react,,,51062188.0,21
react,,,53509265.0,22
react,,,56413955.0,23
react,,,58371254.0,24
react,,,60800406.0,25
react,,,63230841.0,26
react,,,65694167.0,27
react,,,68106616.0,28
react,,,70528265.0,29
react,,,72952856.0,30
react,,,75390254.0,31
react,,,77839534.0,32
react,,,80263065.0,33
react,,,82687127.0,34
react,,,85153528.0,35
react,,,87588392.0,36
react,,,89995352.0,37
react,,,92419433.0,38
react,,,94869004.0,39
react,,,97263590.0,40
react,,,99746193.0,41
react,,,102157080.0,42
react,,,104594838.0,43
react,,,106997830.0,44
react,,,109457118.0,45
react,,,111744822.0,46
react,,,114190505.0,47
react,,,116603177.0,48
react,,,119313549.0,49
react,,,122068838.0,50
react,,,124506735.0,51
react,,,126961175.0,52
react,,,129377162.0,53
react,,,131816272.0,54
react,,,134270832.0,55
react,,,136729930.0,56
react,,,139163691.0,57
react,,,141598453.0,58
react,,,144038294.0,59
react,,,146474109.0,60
react,,,148975417.0,61
react,,,151354563.0,62
react,,,153794085.0,63
react,,,156254155.0,64
react,,,158684299.0,65
react,,,161105746.0,66
react,,,163548614.0,67
react,,,166515882.0,68
react,,,168472590.0,69
react,,,170865343.0,70
react,,,173341384.0,71
react,,,175851399.0,72
react,,,178224394.0,73
react,,,180652604.0,74
react,,,183087496.0,75
react,,,185528390.0,76
react,,,187795325.0,77
react,,,189479568.0,78
react,,,191890496.0,79
react,,,194323625.0,80
react,,,196749852.0,81
react,,,199236110.0,82
react,,,201617522.0,83
react,,,204015485.0,84
react,,,206486835.0,85
react,,,209129972.0,86
react,,,211406195.0,87
react,,,213757469.0,88
react,,,216199916.0,89
react,,,218604982.0,90
react,,,221057528.0,91
react,,,223963822.0,92
react,,,226508522.0,93
react,,,228340353.0,94
react,,,230736383.0,95
react,,,233173951.0,96
react,,,235577253.0,97
react,,,238001045.0,98
react,,,240436938.0,99
react,,,242873755.0,100
