group,function,value,sample_time_nanos,iteration_count
scanner,,,991626.0,58
scanner,,,1982169.0,116
scanner,,,2972983.0,174
scanner,,,3965299.0,232
scanner,,,4968197.0,290
scanner,,,5957228.0,348
scanner,,,6949114.0,406
scanner,,,7930690.0,464
scanner,,,8926865.0,522
scanner,,,9915935.0,580
scanner,,,10899937.0,638
scanner,,,11894778.0,696
scanner,,,12874060.0,754
scanner,,,13887477.0,812
scanner,,,14869534.0,870
scanner,,,15841674.0,928
scanner,,,16848859.0,986
scanner,,,17863036.0,1044
scanner,,,18868538.0,1102
scanner,,,19863210.0,1160
scanner,,,20850828.0,1218
scanner,,,21831162.0,1276
scanner,,,22806827.0,1334
scanner,,,23809213.0,1392
scanner,,,24805538.0,1450
scanner,,,25794939.0,1508
scanner,,,26774250.0,1566
scanner,,,27779403.0,1624
scanner,,,28751902.0,1682
scanner,,,29723600.0,1740
scanner,,,30703453.0,1798
scanner,,,31696702.0,1856
scanner,,,32693767.0,1914
scanner,,,33681426.0,1972
scanner,,,34635029.0,2030
scanner,,,35601718.0,2088
scanner,,,36586300.0,2146
scanner,,,37620827.0,2204
scanner,,,38604657.0,2262
scanner,,,39607174.0,2320
scanner,,,40583960.0,2378
scanner,,,41559818.0,2436
scanner,,,42539931.0,2494
scanner,,,43540894.0,2552
scanner,,,44477445.0,2610
scanner,,,45467268.0,2668
scanner,,,46527453.0,2726
scanner,,,47574834.0,2784
scanner,,,48568323.0,2842
scanner,,,49593061.0,2900
scanner,,,50512300.0,2958
scanner,,,51482534.0,3016
scanner,,,52542980.0,3074
scanner,,,53550777.0,3132
scanner,,,54603548.0,3190
scanner,,,55559376.0,3248
scanner,,,56581028.0,3306
scanner,,,57560582.0,3364
scanner,,,58520626.0,3422
scanner,,,59582506.0,3480
scanner,,,60992812.0,3538
scanner,,,61420451.0,3596
scanner,,,62384605.0,3654
scanner,,,63317360.0,3712
scanner,,,64355132.0,3770
scanner,,,65378208.0,3828
scanner,,,66347530.0,3886
scanner,,,67463572.0,3944
scanner,,,68304502.0,4002
scanner,,,69404061.0,4060
scanner,,,70354590.0,4118
scanner,,,71412390.0,4176
scanner,,,72365944.0,4234
scanner,,,73308176.0,4292
scanner,,,74372578.0,4350
scanner,,,75313118.0,4408
scanner,,,76304864.0,4466
scanner,,,77474596.0,4524
scanner,,,78470409.0,4582
scanner,,,79409476.0,4640
scanner,,,80378648.0,4698
scanner,,,81287508.0,4756
scanner,,,82334047.0,4814
scanner,,,83297950.0,4872
scanner,,,84334872.0,4930
scanner,,,85314645.0,4988
scanner,,,86410508.0,5046
scanner,,,87392505.0,5104
scanner,,,88397446.0,5162
scanner,,,89332745.0,5220
scanner,,,90349939.0,5278
scanner,,,91411056.0,5336
scanner,,,92297652.0,5394
scanner,,,93358539.0,5452
scanner,,,94279871.0,5510
scanner,,,95433283.0,5568
scanner,,,96410361.0,5626
scanner,,,97433928.0,5684
scanner,,,98345171.0,5742
scanner,,,99358517.0,5800
