group,function,value,sample_time_nanos,iteration_count
vue,,,11675629.0,1
vue,,,23125202.0,2
vue,,,34973708.0,3
vue,,,46143090.0,4
vue,,,57737265.0,5
vue,,,69186097.0,6
vue,,,82736109.0,7
vue,,,93144492.0,8
vue,,,103909491.0,9
vue,,,115609466.0,10
vue,,,127156202.0,11
vue,,,138870515.0,12
vue,,,150633579.0,13
vue,,,161603254.0,14
vue,,,173318699.0,15
vue,,,184695214.0,16
vue,,,195761962.0,17
vue,,,211297978.0,18
vue,,,224860334.0,19
vue,,,231946979.0,20
vue,,,239163901.0,21
vue,,,250433603.0,22
vue,,,262482627.0,23
vue,,,273693629.0,24
vue,,,286848395.0,25
vue,,,296734061.0,26
vue,,,308066562.0,27
vue,,,318517446.0,28
vue,,,330228362.0,29
vue,,,341499487.0,30
vue,,,354410011.0,31
vue,,,366207089.0,32
vue,,,377211170.0,33
vue,,,388597432.0,34
vue,,,398295273.0,35
vue,,,409706032.0,36
vue,,,421426436.0,37
vue,,,433321400.0,38
vue,,,444953207.0,39
vue,,,455324060.0,40
vue,,,466910371.0,41
vue,,,478119137.0,42
vue,,,489245278.0,43
vue,,,502011889.0,44
vue,,,512212310.0,45
vue,,,523341878.0,46
vue,,,537027817.0,47
vue,,,549379615.0,48
vue,,,559430843.0,49
vue,,,568436166.0,50
vue,,,581350126.0,51
vue,,,593643734.0,52
vue,,,604460228.0,53
vue,,,617453398.0,54
vue,,,628725736.0,55
vue,,,640712563.0,56
vue,,,651586618.0,57
vue,,,662749057.0,58
vue,,,674254705.0,59
vue,,,685843471.0,60
vue,,,697519761.0,61
vue,,,709301140.0,62
vue,,,720578075.0,63
vue,,,732318738.0,64
vue,,,743036949.0,65
vue,,,757137570.0,66
vue,,,765984704.0,67
vue,,,775720226.0,68
vue,,,785120466.0,69
vue,,,797353978.0,70
vue,,,808328913.0,71
vue,,,819228236.0,72
vue,,,830606983.0,73
vue,,,842091672.0,74
vue,,,853562564.0,75
vue,,,865378149.0,76
vue,,,876082682.0,77
vue,,,887577680.0,78
vue,,,898880314.0,79
vue,,,910117044.0,80
vue,,,921347391.0,81
vue,,,933780253.0,82
vue,,,943861218.0,83
vue,,,954741655.0,84
vue,,,966576454.0,85
vue,,,984044552.0,86
vue,,,995297253.0,87
vue,,,1000928537.0,88
vue,,,1014683537.0,89
vue,,,1027162174.0,90
vue,,,1035993718.0,91
vue,,,1052518262.0,92
vue,,,1061105774.0,93
vue,,,1069174145.0,94
vue,,,1082165762.0,95
vue,,,1098402793.0,96
vue,,,1104338423.0,97
vue,,,1118825597.0,98
vue,,,1132427517.0,99
vue,,,1143385610.0,100
